"TOA5","CR300Series","CR300","28930","CR300.Std.10.04","CPU:PasoAlejoLewis_v01.CR300","10470","a_HumSuel_pAlejoLew"
"TIMESTAMP","RECORD","hs_t1_20_L","hs_t1_40_L","hs_t1_60_L","hs_t2_20_L","hs_t2_40_L","hs_t2_60_L","hs_t3_20_L","hs_t3_40_L","hs_t3_60_L","hs_t4_20_L","hs_t4_40_L","hs_t4_60_L"
"TS","RN","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-10-19 15:30:00",111,0.251,0.29,0.322,0.32,0.4,0.42,0.329,0.358,0.399,0.362,0.362,0.41
"2022-10-19 15:45:00",112,0.251,0.29,0.322,0.32,0.401,0.42,0.329,0.358,0.399,0.362,0.362,0.409
"2022-10-19 16:00:00",113,0.251,0.29,0.322,0.321,0.4,0.42,0.329,0.358,0.399,0.362,0.362,0.41
"2022-10-19 16:15:00",114,0.251,0.29,0.323,0.32,0.4,0.42,0.329,0.358,0.399,0.362,0.363,0.41
"2022-10-19 16:30:00",115,0.251,0.29,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.362,0.363,0.41
"2022-10-19 16:45:00",116,0.251,0.29,0.322,0.321,0.4,0.42,0.329,0.358,0.398,0.361,0.363,0.411
"2022-10-19 17:00:00",117,0.251,0.29,0.322,0.321,0.401,0.42,0.329,0.358,0.398,0.362,0.362,0.41
"2022-10-19 17:15:00",118,0.251,0.29,0.322,0.321,0.4,0.42,0.329,0.358,0.399,0.361,0.362,0.41
"2022-10-19 17:30:00",119,0.251,0.29,0.322,0.321,0.4,0.42,0.329,0.357,0.399,0.362,0.363,0.41
"2022-10-19 17:45:00",120,0.251,0.29,0.322,0.32,0.4,0.42,0.329,0.358,0.398,0.361,0.363,0.409
"2022-10-19 18:00:00",121,0.251,0.29,0.322,0.321,0.4,0.421,0.329,0.357,0.398,0.361,0.363,0.41
"2022-10-19 18:15:00",122,0.251,0.29,0.322,0.321,0.4,0.42,0.329,0.358,0.398,0.362,0.363,0.41
"2022-10-19 18:30:00",123,0.251,0.29,0.322,0.32,0.4,0.42,0.329,0.358,0.398,0.362,0.363,0.41
"2022-10-19 18:45:00",124,0.251,0.29,0.322,0.32,0.4,0.42,0.329,0.358,0.398,0.362,0.362,0.41
"2022-10-19 19:00:00",125,0.251,0.29,0.322,0.321,0.4,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-19 19:15:00",126,0.251,0.29,0.322,0.321,0.4,0.42,0.329,0.358,0.398,0.361,0.363,0.41
